inserts_amount,data_bytes,time_ms,dbms,,,,,
1,127,5.326400042,postgres,,,,,
1,127,5.443699956,postgres,,,,,
1,127,5.728000045,postgres,,,,,
1,127,4.81129992,postgres,,,,,
1,127,4.862399936,postgres,,,,,
1,127,4.818700075,postgres,,,,,
1,127,4.834499955,postgres,,,,,
1,127,4.700500011,postgres,,,,,
1,127,4.779399991,postgres,,,,,
1,127,4.302200079,postgres,,,,,
1,127,5.256799936,postgres,,,,,
1,127,5.636700034,postgres,,,,,
1,127,5.310899973,postgres,,,,,
1,127,5.190099955,postgres,,,,,
1,127,4.963700056,postgres,,,,,
1,127,5.286200047,postgres,,,,,
1,127,5.418200016,postgres,,,,,
1,127,5.612599969,postgres,,,,,
1,127,6.137300014,postgres,,,,,
1,127,4.755299926,postgres,,,,,
1,127,6.285299897,postgres,,,,,
1,127,5.110499978,postgres,,,,,
1,127,4.713400006,postgres,,,,,
1,127,4.915600061,postgres,,,,,
1,127,5.569800019,postgres,,,,,
1,127,5.340000033,postgres,,,,,
1,127,5.246099949,postgres,,,,,
1,127,5.658900023,postgres,,,,,
1,127,4.88499999,postgres,,,,,
1,127,5.60830009,postgres,,,,,
1,127,6.242899895,postgres,,,,,
1,127,4.567000031,postgres,,,,,
1,127,5.119699955,postgres,,,,,
1,127,5.843300104,postgres,,,,,
1,127,5.797900081,postgres,,,,,
1,127,4.890700102,postgres,,,,,
1,127,5.493299961,postgres,,,,,
1,127,5.69690001,postgres,,,,,
1,127,5.192899942,postgres,,,,,
1,127,5.034100056,postgres,,,,,
1,127,4.571400046,postgres,,,,,
1,127,4.930600047,postgres,,,,,
1,127,5.216099977,postgres,,,,,
1,127,4.648399949,postgres,,,,,
1,127,5.206900001,postgres,,,,,
1,127,5.229900002,postgres,,,,,
1,127,5.146999955,postgres,,,,,
1,127,4.674499989,postgres,,,,,
1,127,4.912099957,postgres,,,,,
1,127,4.740700006,postgres,,,,,
1,127,5.553200006,postgres,,,,,
1,127,5.048200011,postgres,,,,,
1,127,5.331900001,postgres,,,,,
1,127,4.852699995,postgres,,,,,
1,127,5.028400064,postgres,,,,,
1,127,5.932300091,postgres,,,,,
1,127,4.811499953,postgres,,,,,
1,127,4.415499926,postgres,,,,,
1,127,4.975899935,postgres,,,,,
1,127,4.536599994,postgres,,,,,
1,127,5.095200062,postgres,,,,,
1,127,4.994799972,postgres,,,,,
1,127,5.486199975,postgres,,,,,
1,127,5.585299969,postgres,,,,,
1,127,5.291300058,postgres,,,,,
1,127,4.787599921,postgres,,,,,
1,127,5.09010005,postgres,,,,,
1,127,4.740999937,postgres,,,,,
1,127,4.929700017,postgres,,,,,
1,127,4.689499974,postgres,,,,,
1,127,4.20449996,postgres,,,,,
1,127,4.558300018,postgres,,,,,
1,127,5.451999903,postgres,,,,,
1,127,4.596500039,postgres,,,,,
1,127,4.912500024,postgres,,,,,
1,127,4.675199986,postgres,,,,,
1,127,5.73269999,postgres,,,,,
1,127,5.190800071,postgres,,,,,
1,127,5.150399923,postgres,,,,,
1,127,5.098100066,postgres,,,,,
1,127,5.233299971,postgres,,,,,
1,127,4.735900044,postgres,,,,,
1,127,5.009899974,postgres,,,,,
1,127,5.120300055,postgres,,,,,
1,127,4.831799984,postgres,,,,,
1,127,5.264400005,postgres,,,,,
1,127,5.717900038,postgres,,,,,
1,127,4.947299957,postgres,,,,,
1,127,4.96239996,postgres,,,,,
1,127,5.461699963,postgres,,,,,
1,127,5.100199938,postgres,,,,,
1,127,5.018700004,postgres,,,,,
1,127,4.99090004,postgres,,,,,
1,127,4.783300042,postgres,,,,,
1,127,4.687399983,postgres,,,,,
1,127,5.198000073,postgres,,,,,
1,127,5.333799958,postgres,,,,,
1,127,4.577200055,postgres,,,,,
1,127,4.855100036,postgres,,,,,
1,127,4.832800031,postgres,,,,,
1,127,5.877900004,postgres,,,,,
1,127,5.58130002,postgres,,,,,
1,127,4.945100069,postgres,,,,,
1,127,5.093299985,postgres,,,,,
1,127,5.091100097,postgres,,,,,
1,127,5.448500037,postgres,,,,,
1,127,4.782199979,postgres,,,,,
1,127,5.043600082,postgres,,,,,
1,127,5.0273,postgres,,,,,
1,127,5.052299976,postgres,,,,,
1,127,4.609600067,postgres,,,,,
1,127,5.087300062,postgres,,,,,
1,127,5.027599931,postgres,,,,,
1,127,5.022300005,postgres,,,,,
1,127,8.91869998,postgres,,,,,
1,127,5.014200091,postgres,,,,,
1,127,5.395300031,postgres,,,,,
1,127,5.310600042,postgres,,,,,
1,127,5.267100096,postgres,,,,,
1,127,5.509499907,postgres,,,,,
1,127,5.5704,postgres,,,,,
1,127,5.095999956,postgres,,,,,
1,127,6.116900086,postgres,,,,,
1,127,5.947700024,postgres,,,,,
1,127,5.966400027,postgres,,,,,
1,127,5.230000019,postgres,,,,,
1,127,5.249300003,postgres,,,,,
1,127,4.725800037,postgres,,,,,
1,127,5.158499956,postgres,,,,,
1,127,5.012400031,postgres,,,,,
1,127,5.694999933,postgres,,,,,
1,127,5.005599976,postgres,,,,,
1,127,4.957299948,postgres,,,,,
1,127,5.221599936,postgres,,,,,
1,127,5.280600071,postgres,,,,,
1,127,5.40989995,postgres,,,,,
1,127,5.246699929,postgres,,,,,
1,127,4.96239996,postgres,,,,,
1,127,4.580200076,postgres,,,,,
1,127,5.018700004,postgres,,,,,
1,127,5.893400073,postgres,,,,,
1,127,4.824300051,postgres,,,,,
1,127,5.244199991,postgres,,,,,
1,127,4.930099964,postgres,,,,,
1,127,6.045899987,postgres,,,,,
1,127,4.952399969,postgres,,,,,
1,127,4.603000045,postgres,,,,,
1,127,5.374799967,postgres,,,,,
1,127,5.010100007,postgres,,,,,
1,127,4.897499919,postgres,,,,,
1,127,5.603099942,postgres,,,,,
1,127,5.273699999,postgres,,,,,
1,127,5.713700056,postgres,,,,,
1,127,5.272799969,postgres,,,,,
1,127,5.325800061,postgres,,,,,
1,127,5.442699909,postgres,,,,,
1,127,5.656100035,postgres,,,,,
1,127,5.787100077,postgres,,,,,
1,127,5.293900013,postgres,,,,,
1,127,4.832599998,postgres,,,,,
1,127,4.775200009,postgres,,,,,
1,127,5.184700012,postgres,,,,,
1,127,4.589599967,postgres,,,,,
1,127,4.877099991,postgres,,,,,
1,127,5.006299973,postgres,,,,,
1,127,4.782299995,postgres,,,,,
1,127,5.368199944,postgres,,,,,
1,127,5.006000042,postgres,,,,,
1,127,4.550300002,postgres,,,,,
1,127,4.373700023,postgres,,,,,
1,127,4.582599998,postgres,,,,,
1,127,5.014600039,postgres,,,,,
1,127,6.32249999,postgres,,,,,
1,127,4.658800006,postgres,,,,,
1,127,5.072900057,postgres,,,,,
1,127,5.144199967,postgres,,,,,
1,127,4.870400071,postgres,,,,,
1,127,5.277999997,postgres,,,,,
1,127,4.92140007,postgres,,,,,
1,127,5.549899936,postgres,,,,,
1,127,4.974699974,postgres,,,,,
1,127,5.033300042,postgres,,,,,
1,127,4.701900005,postgres,,,,,
1,127,4.662899971,postgres,,,,,
1,127,4.906599998,postgres,,,,,
1,127,4.50150001,postgres,,,,,
1,127,6.041000009,postgres,,,,,
1,127,5.332099915,postgres,,,,,
1,127,5.116700053,postgres,,,,,
1,127,6.065600038,postgres,,,,,
1,127,5.722000003,postgres,,,,,
1,127,5.561100006,postgres,,,,,
1,127,6.298699975,postgres,,,,,
1,127,4.729099989,postgres,,,,,
1,127,5.625100017,postgres,,,,,
1,127,5.641300082,postgres,,,,,
1,127,4.819399953,postgres,,,,,
1,127,4.919200063,postgres,,,,,
1,127,5.038400054,postgres,,,,,
1,127,4.976600051,postgres,,,,,
1,127,4.95599997,postgres,,,,,
1,127,5.041100025,postgres,,,,,
1,127,4.756100059,postgres,,,,,
1,127,5.110399961,postgres,,,,,
1,127,5.096099973,postgres,,,,,
1,127,4.80430007,postgres,,,,,
1,127,4.447400093,postgres,,,,,
1,127,5.072700024,postgres,,,,,
1,127,4.946099997,postgres,,,,,
1,127,5.658400059,postgres,,,,,
1,127,5.523600101,postgres,,,,,
1,127,5.103899956,postgres,,,,,
1,127,5.460399985,postgres,,,,,
1,127,5.020299911,postgres,,,,,
1,127,5.120299935,postgres,,,,,
1,127,5.09589994,postgres,,,,,
1,127,4.58950007,postgres,,,,,
1,127,4.797600031,postgres,,,,,
1,127,4.5970999,postgres,,,,,
1,127,4.862999916,postgres,,,,,
1,127,4.807600021,postgres,,,,,
1,127,4.89989996,postgres,,,,,
1,127,5.597000003,postgres,,,,,
1,127,4.993999958,postgres,,,,,
1,127,4.883599997,postgres,,,,,
1,127,4.700500011,postgres,,,,,
1,127,4.880200028,postgres,,,,,
1,127,5.017199993,postgres,,,,,
1,127,4.999599934,postgres,,,,,
1,127,4.805899978,postgres,,,,,
